key,en,fr,es,ar
langMenu_button_1,🇬🇧 English,🇬🇧 English,🇬🇧 English,🇬🇧 English
langMenu_button_2,🇫🇷 Français,🇫🇷 Français,🇫🇷 Français,🇫🇷 Français
langMenu_button_3,🇪🇸 Español,🇪🇸 Español,🇪🇸 Español,🇪🇸 Español
langMenu_button_4,🇸🇦 العربية,🇸🇦 العربية,🇸🇦 العربية,🇸🇦 العربية
global_em_1,"objective,<br/>reliable &amp; independent data","objectif,<br/>données fiables &amp; indépendantes","objetivo,<br/>datos fiables e independientes","موضوعي,<br/>موثوق &amp; بيانات مستقلة"
global_strong_1,ONE for Regulators,ONE for Regulators,ONE for Regulators,ONE for Regulators
global_strong_2,"governments, operators and consumers worldwide","gouvernements, opérateurs et consommateurs dans le monde entier","gobiernos, operadores y consumidores en todo el mundo",الحكومات، المشغلون والمستهلكون في جميع أنحاء العالم
global_div_1,ONE Management System · Performance Dashboard,Système de Gestion ONE · Tableau de Bord de Performance,ONE Management System · Panel de Rendimiento,ONE Management System · لوحة أداء
global_span_1,Compliance Overview — All Carriers,Vue d'ensemble de la Conformité — Tous les Transporteurs,Resumen de Cumplimiento — Todos los Transportistas,نظرة عامة على الامتثال — جميع الناقلين
global_span_2,Current Month,Mois en cours,Mes Actual,الشهر الحالي
global_div_2,E2E Compliance,Conformité E2E,Cumplimiento E2E,امتثال E2E
global_div_3,↑ 2.1% vs prior,↑ 2.1% par rapport au précédent,↑ 2.1% vs anterior,↑ 2.1% مقارنة بالسابق
global_div_4,Avg Transit,Transit moyen,Tránsito Promedio,متوسط العبور
global_div_5,3.2d,3.2j,3.2d,3.2ي
global_div_6,Target: J+3,Objectif : J+3,Objetivo: J+3,الهدف: J+3
global_div_7,Flagged,Signalé,Marcado,تم الإشارة إليه
global_div_8,Items delayed,Articles retardés,Artículos retrasados,العناصر المتأخرة
global_div_9,Panelists,Panélistes,Panelistas,المشاركون في اللجنة
global_div_10,100% active,100% actifs,100% activos,100% نشط
global_span_3,J+K Performance by Carrier,Performance J+K par Transporteur,Rendimiento J+K por Transportista,أداء J+K حسب الناقل
global_span_4,E2E,E2E,E2E,E2E
global_span_5,Carrier / Route,Transporteur / Route,Transportista / Ruta,الناقل / المسار
global_span_6,E2E Rate,Taux E2E,Tasa E2E,معدل E2E
global_span_7,Avg Days,Jours moyens,Días Promedio,متوسط الأيام
global_span_8,Status,Statut,Estado,الحالة
global_span_9,Carrier A · Capital,Transporteur A · Capitale,Transportista A · Capital,الناقل أ · العاصمة
global_span_10,2.8d,2.8j,2.8d,2.8ي
global_span_11,COMPLIANT,CONFORME,CUMPLE,متوافق
global_span_12,Carrier B · North,Transporteur B · Nord,Transportista B · Norte,الناقل ب · الشمال
global_span_13,4.1d,4.1j,4.1d,4.1ي
global_span_14,REVIEW,À RÉVISER,REVISIÓN,مراجعة
global_span_15,Carrier C · East,Transporteur C · Est,Transportista C · Este,الناقل ج · الشرق
global_span_16,5.6d,5.6j,5.6d,5.6ي
global_span_17,BREACH,VIOLATION,INCUMPLIMIENTO,خرق
mission_h2_1,Four objectives.<br/>One foundation.,Quatre objectifs.<br/>Une seule base.,Cuatro objetivos.<br/>Una base.,أربعة أهداف.<br/>أساس واحد.
mission_span_1,objective,objectif,objetivo,موضوعي
mission_span_2,independent,indépendant,independiente,مستقل
